dataset,repeat,n_calibration_identifiers,n_evaluation_identifiers,calibration_prevalence,evaluation_prevalence,intercept_shift,brier_null_calibration_prevalence,brier_model_uncalibrated,brier_skill_uncalibrated,brier_model_intercept_recalibrated,brier_skill_intercept_recalibrated
eicu_external,1,28539,114154,0.010853296507926007,0.011129697676920658,-0.6492454673690731,0.011005903904147223,0.011172652589275108,-0.015150839638446323,0.010760573004158162,0.02229084517961455
eicu_external,2,28539,114154,0.011050901183300953,0.011080249323709697,-0.6473421750554879,0.010957478259947471,0.011078811122305063,-0.011073064393027021,0.01068523942032465,0.024845026671686643
eicu_external,3,28539,114154,0.01107449322223604,0.011074352824414853,-0.6361631724238923,0.010951711533954937,0.011090710993739962,-0.01269203077108716,0.010692409252356833,0.0236768728608453
eicu_external,4,28539,114154,0.011027935227700882,0.01108598150750734,-0.617287877104386,0.010963085890893145,0.011134146649716441,-0.015603340202359872,0.010720986344035394,0.022083156993129016
eicu_external,5,28539,114154,0.01093350714381783,0.01110958843895363,-0.6437630225586429,0.0109861964882932,0.01111522002526754,-0.01174414977119942,0.010716158371243768,0.024579764009972083
eicu_external,6,28539,114154,0.011191992720655141,0.01104496601946769,-0.6175685015782854,0.010922996361947358,0.011060290318362061,-0.012569257726112282,0.01066061110572487,0.02402136259392751
eicu_external,7,28539,114154,0.011265006908762958,0.011026719404874699,-0.6021356178804393,0.010905187644975365,0.011065870440967443,-0.014734528301868721,0.010659230419697914,0.022554148840416954
eicu_external,8,28539,114154,0.011126881204301787,0.011061258136015878,-0.6341753724459731,0.010938911010851395,0.011093967362794114,-0.014174752110964528,0.010690803552998092,0.022681184407404076
eicu_external,9,28539,114154,0.011115308613274439,0.011064192156887061,-0.6373440437867159,0.010941778421694652,0.011093182023662747,-0.013837202338872201,0.010689671783586388,0.023040736925215355
eicu_external,10,28539,114154,0.011257849366862702,0.011028693620183409,-0.6044184882945146,0.010907114049571768,0.011053482803972635,-0.013419567608410121,0.010649538566034289,0.02361536538142195
eicu_external,11,28539,114154,0.011045908845850785,0.01108147780603279,-0.6291898087115313,0.01095867992081812,0.01107831668816218,-0.010917078353277487,0.01068314173740483,0.02514337360012242
eicu_external,12,28539,114154,0.010852181387641076,0.011130010315240794,-0.6437613071101941,0.011006210374536442,0.011144370942109471,-0.012552964451113091,0.010739565088597048,0.02422680258377541
eicu_external,13,28539,114154,0.011182339714975367,0.011047357345489082,-0.6276917979016216,0.01092533146141022,0.01106931820027797,-0.013179164346301953,0.010669267330704184,0.023437653274913428
eicu_external,14,28539,114154,0.011130393773102135,0.011060375916246071,-0.6252633841076468,0.010938048903337676,0.011076313422537556,-0.012640693090857358,0.010677500764460258,0.023820348691064308
eicu_external,15,28539,114154,0.011366643511627137,0.011001260006082788,-0.5906157814183978,0.010880365789467477,0.011035054363353971,-0.014217221817692582,0.010633596897443014,0.022680201824036295
eicu_external,16,28539,114154,0.010800272327783623,0.011143139558352439,-0.6484137965261887,0.011019087557073317,0.011148340332612848,-0.011729898221614743,0.010747390113288449,0.024656982021207474
eicu_external,17,28539,114154,0.011084287416463763,0.011071909514098359,-0.6198796419969028,0.010949322487022448,0.011128355662982467,-0.016351073426891682,0.010712953474081887,0.02158754692089071
eicu_external,18,28539,114154,0.011147542341812398,0.011056119175503549,-0.6212622134213635,0.010933889762475951,0.011076321182216653,-0.013026601039047625,0.010672557520876376,0.02390112277301737
eicu_external,19,28539,114154,0.011028585694669829,0.011085748517837592,-0.6189255625527894,0.010962857965225208,0.011107954630703788,-0.013235295571541128,0.01070292335844091,0.02371047838153384
eicu_external,20,28539,114154,0.010967682116476248,0.011101188858431888,-0.639898245702401,0.010977970288411465,0.01113195142471584,-0.01402637575608301,0.010724859161029658,0.023056277320134044
eicu_external,21,28539,114154,0.010914302969633543,0.01111440963297106,-0.6264104121139071,0.010990919574158292,0.01114222781261429,-0.013766658689028377,0.010734072521762792,0.02336902300690069
eicu_external,22,28539,114154,0.011143619666478798,0.011057106759056499,-0.6345488673057731,0.010934854633658472,0.011072436923760164,-0.012581995345251507,0.010671090101234442,0.024121448456400962
eicu_external,23,28539,114154,0.011262484504496286,0.011027477202264836,-0.6067734459542337,0.010905927177250467,0.011040613108160244,-0.012349791881127725,0.010643484230474077,0.02406424896397985
