dataset,repeat,calibration_method,fitted_intercept,fitted_slope,calibration_prevalence,brier,brier_skill
mimic_temporal_test,29,intercept_only,-1.264249902349189,1.0,0.00787022165114038,0.008093085834055902,0.010328180577963364
mimic_temporal_test,29,intercept_and_slope,-2.0282211521089843,0.7283902757352844,0.00787022165114038,0.008007155284295677,0.02083629148508792
mimic_temporal_test,30,uncalibrated,0.0,1.0,0.009417588068912316,0.009244050450611016,-0.1865246368956568
mimic_temporal_test,30,intercept_only,-1.0142732525745035,1.0,0.009417588068912316,0.007824776564153623,-0.004353039955374616
mimic_temporal_test,30,intercept_and_slope,-1.9743053678486493,0.6767929654079988,0.009417588068912316,0.007631879322606989,0.020406380247612987
mimic_temporal_test,31,uncalibrated,0.0,1.0,0.008359387855849927,0.009473036092576282,-0.17591588261467384
mimic_temporal_test,31,intercept_only,-1.1745511830625113,1.0,0.008359387855849927,0.008009721528095,0.005729665952738494
mimic_temporal_test,31,intercept_and_slope,-2.199554434943196,0.6549619707659021,0.008359387855849927,0.00789064086475881,0.02051149956562326
mimic_temporal_test,32,uncalibrated,0.0,1.0,0.007268847320862926,0.009742051555416685,-0.17098363756601254
mimic_temporal_test,32,intercept_only,-1.3025426604902846,1.0,0.007268847320862926,0.008247508549259078,0.008658750476597588
mimic_temporal_test,32,intercept_and_slope,-2.338313016113128,0.6495095797758349,0.007268847320862926,0.008164609192656519,0.018623159881962725
mimic_temporal_test,33,uncalibrated,0.0,1.0,0.007970894658508351,0.009682276721171406,-0.18795605812130933
mimic_temporal_test,33,intercept_only,-1.216321855040183,1.0,0.007970894658508351,0.008150989645222956,-7.651171068556728e-05
mimic_temporal_test,33,intercept_and_slope,-1.6047513192086256,0.8623788562477589,0.007970894658508351,0.00804554334797308,0.012861103194550916
mimic_temporal_test,34,uncalibrated,0.0,1.0,0.00912928241876902,0.009109037541760923,-0.15777911425819924
mimic_temporal_test,34,intercept_only,-1.1785681128746357,1.0,0.00912928241876902,0.007777973928151554,0.011402058233494938
mimic_temporal_test,34,intercept_and_slope,-2.420798719355948,0.571212276143039,0.00912928241876902,0.007712100487001734,0.019774720438248128
mimic_temporal_test,35,uncalibrated,0.0,1.0,0.008034751935199399,0.009595790270387657,-0.17951557533010054
mimic_temporal_test,35,intercept_only,-1.2266489990840752,1.0,0.008034751935199399,0.008105921016246652,0.003619314131563578
mimic_temporal_test,35,intercept_and_slope,-1.9644449899104133,0.7417167543817892,0.008034751935199399,0.007983911534030688,0.01861673284920684
mimic_temporal_test,36,uncalibrated,0.0,1.0,0.008106387967708437,0.009592753595292146,-0.18177786897214987
mimic_temporal_test,36,intercept_only,-1.1985833625984326,1.0,0.008106387967708437,0.008115731642619244,0.00018363335513960077
mimic_temporal_test,36,intercept_and_slope,-1.9201448156872984,0.7459808542888005,0.008106387967708437,0.007978412722714478,0.017100617505994342
mimic_temporal_test,37,uncalibrated,0.0,1.0,0.008621524750557009,0.009457677576293167,-0.18376047974642917
mimic_temporal_test,37,intercept_only,-1.08359472755332,1.0,0.008621524750557009,0.007998688996533377,-0.0011476757901829338
mimic_temporal_test,37,intercept_and_slope,-1.8689556756726498,0.7343018805805224,0.008621524750557009,0.007830296913750688,0.019928945937755516
mimic_temporal_test,38,uncalibrated,0.0,1.0,0.008061862454754853,0.009607453375246988,-0.18195623034714203
mimic_temporal_test,38,intercept_only,-1.1876883510793552,1.0,0.008061862454754853,0.008112737463526577,0.0019310824977699648
mimic_temporal_test,38,intercept_and_slope,-1.9677243921537795,0.7316321525734863,0.008061862454754853,0.00797086443313383,0.01938500141274202
mimic_temporal_test,39,uncalibrated,0.0,1.0,0.007764179497302277,0.009777012412002645,-0.1921257133708465
mimic_temporal_test,39,intercept_only,-1.1866146307328345,1.0,0.007764179497302277,0.008210151988622847,-0.0010760837640468868
mimic_temporal_test,39,intercept_and_slope,-1.5584580583999634,0.8716851945519144,0.007764179497302277,0.008095863442701036,0.012859289189954382
mimic_temporal_test,40,uncalibrated,0.0,1.0,0.007812242476184198,0.009748860872373677,-0.1904345260377931
mimic_temporal_test,40,intercept_only,-1.1395655048862068,1.0,0.007812242476184198,0.00820301904993365,-0.001671602726350807
mimic_temporal_test,40,intercept_and_slope,-1.804985677765705,0.7822282211756574,0.007812242476184198,0.00803802505534779,0.0184758329910365
